Gene	sgRNA	E0_Low|beta	E0_Low|z	E0_Low|p-value	E0_Low|fdr	E0_Low|wald-p-value	E0_Low|wald-fdr	E0_High|beta	E0_High|z	E0_High|p-value	E0_High|fdr	E0_High|wald-p-value	E0_High|wald-fdr	E50_Low|beta	E50_Low|z	E50_Low|p-value	E50_Low|fdr	E50_Low|wald-p-value	E50_Low|wald-fdr	E50_High|beta	E50_High|z	E50_High|p-value	E50_High|fdr	E50_High|wald-p-value	E50_High|wald-fdr	E100_Low|beta	E100_Low|z	E100_Low|p-value	E100_Low|fdr	E100_Low|wald-p-value	E100_Low|wald-fdr	E100_High|beta	E100_High|z	E100_High|p-value	E100_High|fdr	E100_High|wald-p-value	E100_High|wald-fdr	EC100_Low|beta	EC100_Low|z	EC100_Low|p-value	EC100_Low|fdr	EC100_Low|wald-p-value	EC100_Low|wald-fdr	EC100_High|beta	EC100_High|z	EC100_High|p-value	EC100_High|fdr	EC100_High|wald-p-value	EC100_High|wald-fdr
H2AFZ_P1P2	5	0.12864	0.50183	0.51747	0.87941	0.61579	0.99959	0.18687	0.7293	0.24025	0.66935	0.46582	0.99985	-0.037749	-0.14686	0.7482	0.96932	0.88324	0.99018	-0.1123	-0.43322	0.40456	0.81391	0.66485	0.99956	-0.025766	-0.1004	0.89749	0.98546	0.92002	0.99993	0.56003	2.1905	0.0077967	0.088235	0.028491	1	-0.074215	-0.28865	0.56685	0.87439	0.77285	1	0.076752	0.29934	0.59111	0.88443	0.76468	0.9992
ZNF585A_P1P2	5	-0.051274	-0.20021	0.65088	0.92038	0.84132	0.99959	0.089923	0.35148	0.56656	0.88713	0.72523	0.99985	0.017161	0.066955	0.95091	0.99276	0.94662	0.99846	-0.15372	-0.59792	0.26076	0.69569	0.5499	0.99956	0.12324	0.4817	0.36731	0.76502	0.63002	0.99993	0.15205	0.59509	0.26133	0.66544	0.55178	1	0.14346	0.56015	0.29454	0.69465	0.57537	1	-0.15604	-0.609	0.28184	0.71003	0.54252	0.9992
ZNF585B_P1P2	5	-0.018529	-0.14757	0.7944	0.95729	0.88268	0.99959	-0.2089	-1.6633	0.14727	0.54839	0.096246	0.99985	-0.22836	-1.8175	0.2287	0.70777	0.069139	0.49273	-0.26863	-2.1337	0.062374	0.39671	0.03287	0.99956	0.019033	0.15159	0.85619	0.97153	0.87951	0.99993	-0.3541	-2.8195	0.010107	0.10802	0.0048097	1	-0.006137	-0.048864	0.93878	0.98912	0.96103	1	-0.11634	-0.92647	0.419	0.80712	0.3542	0.9992
ZNF132_P1P2	5	0.095106	0.31106	0.6581	0.92335	0.75576	0.99959	0.27917	0.91584	0.088074	0.42538	0.35975	0.99985	-0.081718	-0.26563	0.59053	0.91887	0.79052	0.97565	-0.18902	-0.60626	0.17904	0.61485	0.54434	0.99956	0.23911	0.7836	0.087785	0.41989	0.43328	0.99993	0.32647	1.0738	0.038406	0.25725	0.2829	1	0.1402	0.45745	0.30205	0.69465	0.64735	1	-0.197	-0.64153	0.17182	0.56026	0.52118	0.9992
MDM4_P1P2	5	-0.10654	-0.89123	0.43662	0.84135	0.3728	0.99959	-0.20131	-1.6837	0.16517	0.57315	0.092237	0.99985	-0.20486	-1.7121	0.27462	0.75297	0.086878	0.53783	-0.23744	-1.9762	0.095871	0.46761	0.048137	0.99956	-0.021643	-0.18109	0.92146	0.98824	0.85629	0.99993	-0.19053	-1.5942	0.15622	0.53992	0.11089	1	-0.20871	-1.7442	0.13601	0.52333	0.081124	1	0.020084	0.16808	0.89604	0.98321	0.86652	0.9992
MAP3K13_P2	5	-0.04997	-0.26962	0.65608	0.92245	0.78745	0.99959	0.085362	0.46125	0.58706	0.89916	0.64462	0.99985	0.13283	0.71658	0.64106	0.93513	0.47363	0.90288	-0.12025	-0.63975	0.378	0.7943	0.52234	0.99956	0.1552	0.83888	0.24863	0.66951	0.40154	0.99993	0.13241	0.71652	0.32169	0.71917	0.47367	1	0.091381	0.49277	0.50765	0.8401	0.62218	1	0.24477	1.3242	0.082876	0.39261	0.18544	0.9992
NCAPH2_P1P2	5	-0.016732	-0.11896	0.80306	0.95963	0.90531	0.99959	0.061736	0.43914	0.69939	0.94315	0.66056	0.99985	-0.39588	-2.8051	0.057753	0.39139	0.0050298	0.18382	-0.028411	-0.20085	0.80104	0.96227	0.84082	0.99956	0.041568	0.29561	0.73174	0.92719	0.76753	0.99993	0.085328	0.60736	0.51805	0.86757	0.54361	1	-0.054016	-0.38357	0.6685	0.91954	0.7013	1	-0.08337	-0.59262	0.55674	0.86925	0.55344	0.9992
MAU2_P1P2	5	-0.44062	-1.0274	0.011839	0.12424	0.30423	0.99092	0.80611	1.9227	0	0	0.054523	0.99985	0.23126	0.544	0.35432	0.80196	0.58644	0.93215	-0.24384	-0.56139	0.089229	0.45242	0.57453	0.99956	0.11165	0.26298	0.41265	0.79038	0.79257	0.99993	0.42327	1.0056	0.026567	0.21198	0.31461	1	-0.15632	-0.36508	0.24256	0.65456	0.71505	1	0.20111	0.47471	0.15247	0.52433	0.635	0.9992
GDF3_P1P2	5	-0.11671	-0.25409	0.40687	0.8359	0.79943	0.99959	-0.024877	-0.054344	0.87121	0.97955	0.95666	0.99985	-0.10656	-0.23059	0.51805	0.89303	0.81763	0.98046	-0.21612	-0.45435	0.12763	0.53771	0.64957	0.99956	0.094223	0.20632	0.48484	0.82079	0.83654	0.99993	-0.025493	-0.05591	0.87179	0.97513	0.95541	1	-0.29776	-0.64015	0.038695	0.26019	0.52207	1	-0.021978	-0.048008	0.86717	0.9731	0.96171	0.9992
CREBRF_P1	5	0.20511	0.57042	0.26105	0.70625	0.5684	0.99959	0.21183	0.5894	0.19116	0.62101	0.5556	0.99985	0.070403	0.19477	0.85764	0.98836	0.84558	0.98527	0.069175	0.18922	0.67225	0.92491	0.84992	0.99956	0.10575	0.29361	0.4369	0.80459	0.76905	0.99993	0.091195	0.25383	0.48484	0.84292	0.79963	1	0.13762	0.38114	0.3084	0.69909	0.7031	1	0.0020747	0.0057535	0.99827	0.99971	0.99541	0.9992
ZNF37A_P1P2	5	-0.037062	-0.18656	0.7121	0.93864	0.852	0.99959	-0.34359	-1.7225	0.022524	0.19898	0.084975	0.99985	-0.19589	-0.98095	0.28934	0.75755	0.32662	0.83743	0.044705	0.22247	0.80335	0.9623	0.82395	0.99956	-0.26573	-1.333	0.081432	0.41228	0.18252	0.99993	-0.071009	-0.35812	0.61681	0.90859	0.72025	1	-0.036586	-0.18364	0.75715	0.94379	0.8543	1	-0.014115	-0.071094	0.91221	0.98905	0.94332	0.9992
HOXA9_P1P2	5	0.22955	1.4381	0.20387	0.65527	0.1504	0.99092	-0.13906	-0.86964	0.33555	0.75406	0.3845	0.99985	-0.24118	-1.5048	0.20762	0.69084	0.13239	0.62703	0.057423	0.35701	0.73607	0.94796	0.72109	0.99956	0.088866	0.55636	0.50707	0.83105	0.57797	0.99993	-0.025666	-0.16073	0.87092	0.97512	0.8723	1	-0.0914	-0.57091	0.48195	0.8246	0.56806	1	-0.17731	-1.1085	0.21889	0.63537	0.26763	0.9992
FOXO4_P1P2	5	-0.10634	-0.44907	0.43662	0.84135	0.65338	0.99959	0.12209	0.51654	0.43344	0.81665	0.60547	0.99985	-0.55557	-2.3318	0.011551	0.15094	0.019713	0.30476	0.11979	0.50274	0.43517	0.8326	0.61515	0.99956	-0.3118	-1.3143	0.047069	0.32213	0.18875	0.99993	-0.01987	-0.084071	0.90384	0.98211	0.933	1	-0.19371	-0.81597	0.1646	0.57634	0.41452	1	-0.12158	-0.51344	0.40254	0.80161	0.60765	0.9992
HOXB4_P1P2	5	0.15485	0.86907	0.41785	0.83776	0.38481	0.99959	-0.028386	-0.15909	0.85504	0.97855	0.8736	0.99985	-0.20994	-1.1709	0.26422	0.74694	0.24164	0.76637	-0.19577	-1.0797	0.1646	0.59623	0.28028	0.99956	-0.11469	-0.64193	0.4499	0.80459	0.52092	0.99993	0.067106	0.37688	0.60497	0.90448	0.70626	1	-0.030015	-0.1678	0.79324	0.95714	0.86674	1	0.084647	0.47488	0.55154	0.86925	0.63488	0.9992
TCEAL8_P1P2	5	-0.035093	-0.26131	0.72134	0.94122	0.79385	0.99959	-0.12708	-0.94613	0.37597	0.78378	0.34408	0.99985	-0.14993	-1.1156	0.39936	0.8392	0.26459	0.78921	-0.043441	-0.3226	0.71787	0.9431	0.747	0.99956	0.043382	0.32308	0.72278	0.92367	0.74663	0.99993	0.12856	0.95782	0.33439	0.7271	0.33816	1	-0.040578	-0.30203	0.73924	0.93883	0.76263	1	0.03463	0.25791	0.80913	0.96037	0.79648	0.9992
ATF7IP_P2	5	-0.039739	-0.20056	0.70026	0.93789	0.84104	0.99959	0.36212	1.8336	0.030032	0.23744	0.066713	0.99985	-0.0033407	-0.016833	0.87381	0.98836	0.98657	0.99846	0.05873	0.29351	0.72856	0.94494	0.76914	0.99956	-0.092948	-0.46883	0.54346	0.84446	0.63919	0.99993	0.26112	1.3225	0.068727	0.34694	0.18599	1	-0.01945	-0.097991	0.86341	0.98162	0.92194	1	0.21621	1.0937	0.12735	0.48515	0.27408	0.9992
ESRRG_ENST00000360012.3	5	-0.13568	-0.88958	0.33815	0.78133	0.37369	0.99959	-0.26778	-1.7556	0.066416	0.37785	0.07915	0.99985	-0.38539	-2.5265	0.064395	0.41068	0.011522	0.25439	0.0070454	0.046182	0.99365	0.99768	0.96317	0.99956	0.041829	0.27426	0.73029	0.92637	0.78388	0.99993	-0.10388	-0.68112	0.45567	0.81846	0.4958	1	-0.086229	-0.56534	0.50592	0.8401	0.57184	1	-0.20392	-1.337	0.1594	0.53696	0.18123	0.9992
ASCC1_P1P2	5	0.03357	0.1303	0.94716	0.98915	0.89633	0.99959	0.26123	1.0174	0.10713	0.47081	0.30894	0.99985	0.14375	0.55727	0.60295	0.92124	0.57734	0.92776	-0.10976	-0.42025	0.41611	0.82118	0.6743	0.99956	0.15046	0.58486	0.26538	0.68601	0.55864	0.99993	0.082382	0.32072	0.53046	0.87098	0.74843	1	0.055518	0.21496	0.70141	0.93137	0.8298	1	0.11552	0.44903	0.419	0.80712	0.65341	0.9992
ZMYM1_P1P2	5	-0.18275	-0.43741	0.22177	0.67016	0.66182	0.99959	-0.27868	-0.66629	0.060064	0.35678	0.50523	0.99985	-0.18051	-0.43076	0.32804	0.79867	0.66664	0.95196	-0.15151	-0.35941	0.26855	0.70776	0.71929	0.99956	0.035653	0.085641	0.76032	0.93835	0.93175	0.99993	-0.14847	-0.35659	0.27548	0.67371	0.7214	1	-0.013221	-0.03163	0.90009	0.98766	0.97477	1	-0.15519	-0.37173	0.28415	0.71089	0.71009	0.9992
PWP1_P1P2	5	0.2036	0.50521	0.2648	0.7092	0.61341	0.99959	-0.20287	-0.49996	0.16113	0.5665	0.6171	0.99985	0.062028	0.15297	0.88507	0.98836	0.87842	0.99018	-0.10301	-0.25114	0.44441	0.83869	0.8017	0.99956	0.15022	0.37232	0.26624	0.68601	0.70965	0.99993	-0.090019	-0.22285	0.52267	0.86775	0.82365	1	-0.053619	-0.13197	0.66907	0.91954	0.89501	1	-0.41711	-1.0241	0.0054866	0.058642	0.30581	0.9992
ZNF19_P1P2	5	-0.12837	-0.52972	0.36356	0.80653	0.59631	0.99959	-0.14863	-0.61335	0.30234	0.73732	0.53965	0.99985	-0.16032	-0.6596	0.37107	0.8191	0.50951	0.91763	-0.16988	-0.69323	0.22293	0.67365	0.48817	0.99956	-0.0066278	-0.027388	0.99942	1	0.97815	0.99993	0.015668	0.064919	0.88998	0.97819	0.94824	1	-0.017916	-0.073845	0.87237	0.98441	0.94113	1	-0.073638	-0.30415	0.5989	0.88443	0.76101	0.9992
UHRF1_P1P2	5	0.10035	0.64866	0.63182	0.91068	0.51656	0.99959	0.056827	0.36729	0.72249	0.94528	0.7134	0.99985	-0.13673	-0.88102	0.43373	0.86057	0.37831	0.86709	-0.017541	-0.11238	0.85388	0.97688	0.91052	0.99956	0.093737	0.60586	0.48657	0.82079	0.54461	0.99993	-0.096671	-0.62478	0.4909	0.84704	0.53212	1	-0.080817	-0.52098	0.53306	0.85444	0.60238	1	0.099578	0.64375	0.48773	0.84197	0.51974	0.9992
NR5A1_P1P2	5	-0.025033	-0.070641	0.76841	0.95426	0.94368	0.99959	-0.0078601	-0.022196	0.9538	0.98954	0.98229	0.99985	0.14164	0.39948	0.60959	0.92124	0.68954	0.95807	-0.071173	-0.19771	0.57984	0.88982	0.84327	0.99956	-0.064869	-0.18291	0.6864	0.91107	0.85487	0.99993	-0.046603	-0.13183	0.75195	0.95428	0.89512	1	0.091956	0.25914	0.5039	0.83975	0.79553	1	-0.20245	-0.56983	0.16286	0.54283	0.5688	0.9992
EN1_P1P2	5	-0.076131	-0.31433	0.54346	0.88341	0.75327	0.99959	-0.34577	-1.4239	0.022235	0.19794	0.15448	0.99985	0.32362	1.3386	0.17673	0.65385	0.18069	0.69915	-0.56355	-2.2837	0	0	0.022387	0.99956	-0.16019	-0.66074	0.28241	0.69794	0.50878	0.99993	-0.31505	-1.2998	0.02339	0.19804	0.19366	1	-0.35887	-1.4734	0.013861	0.12091	0.14063	1	-0.26465	-1.0907	0.071037	0.35953	0.27539	0.9992
HOXB6_P2	5	-0.12517	-0.48797	0.37251	0.81234	0.62557	0.99959	-0.18033	-0.70257	0.21369	0.64187	0.48232	0.99985	-0.29345	-1.1344	0.13716	0.57646	0.25661	0.77882	0.059862	0.22961	0.72278	0.9431	0.8184	0.99956	-0.15571	-0.60653	0.29945	0.71468	0.54416	0.99993	-0.054558	-0.21375	0.70835	0.93769	0.83074	1	-0.033545	-0.13047	0.77303	0.94661	0.89619	1	-0.23571	-0.91714	0.10713	0.45091	0.35907	0.9992
HDAC9_P1	5	-0.13749	-0.70283	0.33266	0.77882	0.48216	0.99959	0.081257	0.41565	0.6041	0.90009	0.67767	0.99985	0.43758	2.239	0.060352	0.40076	0.025157	0.35128	0.32352	1.651	0.040139	0.32192	0.098729	0.99956	0.13119	0.67108	0.33641	0.74441	0.50217	0.99993	0.12312	0.63004	0.35807	0.74789	0.52867	1	-0.032668	-0.16694	0.7788	0.94965	0.86742	1	0.055612	0.28445	0.70661	0.92569	0.77607	0.9992
ELL3_P1P2	5	-0.042995	-0.24882	0.6838	0.92936	0.8035	0.99959	-0.16287	-0.94192	0.26191	0.69419	0.34623	0.99985	0.01884	0.10892	0.95755	0.9943	0.91327	0.99846	0.090366	0.51919	0.56743	0.88553	0.60363	0.99956	-0.074724	-0.43232	0.64164	0.89778	0.66551	0.99993	-0.029712	-0.17216	0.84695	0.97057	0.86331	1	-0.075152	-0.43412	0.56252	0.87377	0.6642	1	-0.15553	-0.89946	0.28328	0.71087	0.36841	0.9992
BARX1_P1P2	5	0.10354	0.46243	0.61767	0.91068	0.64377	0.99959	0.12475	0.55754	0.42391	0.80971	0.57716	0.99985	-0.33808	-1.4954	0.094138	0.48083	0.13482	0.629	0.11963	0.52744	0.43546	0.83269	0.59789	0.99956	-0.055297	-0.24634	0.73924	0.93057	0.80542	0.99993	-0.11717	-0.52289	0.39446	0.77101	0.60105	1	0.22193	0.98995	0.11637	0.48671	0.3222	1	-0.065407	-0.29146	0.63529	0.89768	0.7707	0.9992
OLIG2_P1P2	5	-0.09414	-0.29571	0.47964	0.86331	0.76745	0.99959	-0.0059736	-0.018813	0.96304	0.99138	0.98499	0.99985	-0.20295	-0.63282	0.27751	0.7533	0.52685	0.91823	-0.19019	-0.58355	0.17759	0.61485	0.55953	0.99956	-0.35017	-1.093	0.027144	0.23441	0.27439	0.99993	-0.20096	-0.63216	0.13716	0.50053	0.52728	1	-0.036935	-0.11563	0.7557	0.94379	0.90795	1	-0.35942	-1.1224	0.015593	0.13811	0.26167	0.9992
HAND1_P1P2	5	-0.080753	-0.48366	0.52787	0.88207	0.62863	0.99959	-0.10453	-0.6261	0.46145	0.83229	0.53125	0.99985	-0.11833	-0.70722	0.48253	0.88319	0.47943	0.90725	-0.20374	-1.2055	0.14843	0.57048	0.22803	0.99956	-0.17498	-1.0471	0.23968	0.65821	0.29507	0.99993	-0.10973	-0.65791	0.42478	0.79729	0.51059	1	-0.2369	-1.4141	0.092983	0.43572	0.15734	1	-0.095306	-0.57084	0.50188	0.84837	0.56811	0.9992
TAF1A_P1P2	5	-0.2176	-0.79531	0.16431	0.59148	0.42643	0.99959	-0.047688	-0.17454	0.75079	0.95853	0.86144	0.99985	-0.80785	-2.9388	0.0008663	0.020134	0.0032951	0.14819	-0.44361	-1.6114	0.0034652	0.06	0.10709	0.99956	0.24938	0.9145	0.078256	0.40296	0.36045	0.99993	-0.44345	-1.6201	0.0011551	0.016461	0.10521	1	-0.14683	-0.53617	0.27173	0.67455	0.59184	1	-0.23136	-0.84565	0.11493	0.46449	0.39775	0.9992
NKAP_P1P2	5	1.1699	2.4296	0	0	0.015115	0.99092	0.19108	0.39389	0.22928	0.65728	0.69366	0.99985	-0.31329	-0.63973	0.12128	0.55381	0.52235	0.91823	-0.20491	-0.41487	0.14612	0.56726	0.67824	0.99956	-0.26008	-0.53292	0.087496	0.41989	0.59409	0.99993	-0.34597	-0.70979	0.012706	0.13095	0.47783	1	1.004	2.0806	0	0	0.037473	1	-0.28031	-0.57445	0.056887	0.32508	0.56566	0.9992
ISL1_P2	5	-0.38167	-2.2192	0.024545	0.20531	0.026472	0.99092	-0.12238	-0.71216	0.39359	0.79198	0.47636	0.99985	-0.25715	-1.4948	0.18597	0.66769	0.13496	0.629	-0.2605	-1.5091	0.069015	0.40609	0.13126	0.99956	0.090149	0.52478	0.50101	0.82816	0.59974	0.99993	-0.17297	-1.0067	0.20098	0.59897	0.31407	1	0.059433	0.34581	0.67543	0.92085	0.72949	1	0.071555	0.41655	0.61507	0.89121	0.67701	0.9992
DHX9_P1P2	5	0.034643	0.2093	0.94196	0.98761	0.83422	0.99959	0.25172	1.5216	0.1207	0.50602	0.12812	0.99985	0.060409	0.3648	0.89142	0.98836	0.71526	0.96362	0.0067568	0.040684	0.99278	0.99768	0.96755	0.99956	-0.13493	-0.8148	0.3676	0.76502	0.41518	0.99993	0.029895	0.18068	0.80393	0.95937	0.85662	1	-0.15179	-0.91603	0.25585	0.6607	0.35965	1	0.15235	0.92072	0.28472	0.71089	0.3572	0.9992
ZNF407_ENST00000299687.5	5	-0.16191	-1.2158	0.26509	0.70943	0.22406	0.99092	-0.08009	-0.60174	0.58042	0.89415	0.54735	0.99985	-0.045277	-0.33985	0.72105	0.96302	0.73397	0.96607	-0.095473	-0.71311	0.47156	0.84161	0.47578	0.99956	-0.043211	-0.32466	0.80219	0.95546	0.74544	0.99993	0.021363	0.16067	0.85417	0.97057	0.87235	1	-0.11098	-0.8327	0.40514	0.773	0.40501	1	0.029701	0.22325	0.83714	0.96667	0.82334	0.9992
CIR1_P1P2	5	0.1134	0.35773	0.57522	0.89102	0.72055	0.99959	-0.24197	-0.75679	0.10136	0.46003	0.44918	0.99985	0.21617	0.68027	0.39474	0.83711	0.49633	0.91378	-0.27838	-0.84586	0.054288	0.37228	0.39763	0.99956	0.026862	0.084537	0.81432	0.95794	0.93263	0.99993	-0.49942	-1.557	0.00028877	0.0053191	0.11947	1	-0.019401	-0.060673	0.86341	0.98162	0.95162	1	-0.38482	-1.1986	0.0089518	0.084932	0.2307	0.9992
ACTG1_P1P2	5	0.10139	0.45437	0.62605	0.91068	0.64956	0.99959	-0.068107	-0.30455	0.63673	0.91304	0.76071	0.99985	0.0029842	0.013313	0.89807	0.98836	0.98938	0.99846	-0.26775	-1.1774	0.062662	0.39671	0.23902	0.99956	0.026179	0.11717	0.81692	0.95801	0.90673	0.99993	-0.088026	-0.39435	0.53162	0.87098	0.69332	1	-0.094648	-0.42159	0.46838	0.81636	0.67332	1	0.026743	0.11975	0.85764	0.97036	0.90468	0.9992
PRDM4_P1P2	5	0.12681	0.59175	0.52584	0.88207	0.55402	0.99959	0.23186	1.0823	0.1542	0.55741	0.27913	0.99985	0.34391	1.6049	0.14381	0.59215	0.10851	0.58065	0.018795	0.087408	0.94398	0.98767	0.93035	0.99956	0.14716	0.68676	0.27779	0.6966	0.49224	0.99993	-0.074117	-0.34584	0.60179	0.90448	0.72946	1	0.20087	0.93709	0.15536	0.56335	0.34871	1	0.21307	0.99453	0.13168	0.4914	0.31996	0.9992
HDAC6_P1P2	5	0.095548	0.17353	0.65579	0.92245	0.86223	0.99959	0.1418	0.2586	0.3676	0.78321	0.79594	0.99985	0.15772	0.28415	0.55645	0.90369	0.7763	0.97156	0.13243	0.22962	0.3855	0.7975	0.81839	0.99956	0.1897	0.34624	0.17066	0.58748	0.72916	0.99993	0.36284	0.6756	0.033497	0.24319	0.49929	1	0.27049	0.49054	0.055154	0.31863	0.62375	1	0.26839	0.49294	0.059197	0.33225	0.62205	0.9992
ZNF692_P1P2	5	-0.31546	-1.9139	0.053422	0.34644	0.055639	0.99092	-0.0191	-0.11616	0.89778	0.98608	0.90753	0.99985	0.16455	1.0005	0.53422	0.90024	0.31708	0.82972	-0.02961	-0.17854	0.79353	0.95983	0.8583	0.99956	-0.046002	-0.27966	0.78545	0.94477	0.77974	0.99993	-0.067537	-0.41099	0.63615	0.91746	0.68108	1	-0.055236	-0.33528	0.66301	0.91954	0.73742	1	-0.057199	-0.34777	0.67745	0.9132	0.72802	0.9992
